Milliseconds,Weight (grams)
12,-0.4996071
23,-0.5904448
34,0.009083766
46,-0.5722773
57,-0.7812038
69,-0.5086909
80,-0.3815182
91,-0.07267013
103,1.135471
114,0.2906805
126,-1.099136
137,0.2452617
148,0.9537953
160,-0.3633506
171,-0.4451045
183,-0.617696
194,-0.4996071
205,-1.080968
217,-1.825837
228,-0.890209
240,-1.180889
251,-1.026466
262,-0.1725916
274,-0.4087695
285,-0.6631149
296,-0.735785
308,-0.6358636
319,-0.2270941
331,-1.090052
342,-0.7812038
354,-0.4996071
365,-0.3542669
376,-0.09992142
393,-2.02568
399,-0.9719629
410,-0.5359422
422,-1.262643
433,0.09083766
444,-0.3906019
456,-0.8447903
509,-1.271727
513,-0.9810467
524,-0.7630363
536,-0.4087695
547,-0.2543454
558,0.2543454
570,-0.9810467
581,-1.080968
593,-1.189973
604,-1.535156
656,-1.798586
661,-1.989345
672,-1.762251
684,-1.725915
695,-0.9537953
707,0.0
718,-1.080968
729,-1.435235
741,-0.6631149
752,-0.9265441
801,-1.153638
809,-1.453403
820,-1.453403
832,-1.017382
843,-0.8357064
855,-0.9447116
866,-1.589659
877,-0.77212
889,-0.6086123
900,-0.853874
951,-1.071884
957,-0.9537953
968,-1.371649
980,-0.4541883
993,-0.9174603
1003,-1.971177
1014,-1.871256
1025,-0.5722773
1037,-0.4814395
1048,-1.017382
1096,-1.598743
1105,-1.844004
1117,-1.189973
1128,-0.9537953
1139,-0.9901304
1151,-1.053717
1162,-1.099136
1173,-1.962093
1185,-1.807669
1196,-1.680497
1250,-1.971177
1253,-1.344397
1265,-1.226308
1276,-2.125601
1287,-1.162722
1299,-0.1816753
1310,-1.071884
1322,-1.725915
1333,-0.7176175
1344,-0.4087695
1399,-1.462486
1401,-1.353481
1413,-0.9356278
1424,-0.5359422
1435,-0.3542669
1447,0.2634292
1458,-0.4996071
1470,-1.235392
1481,-1.644162
1492,-1.925758
1547,-0.8175389
1549,-0.6721987
1561,-1.353481
1572,-0.7630363
1583,-0.9265441
1599,-1.435235
1606,-2.343611
1618,-1.389816
1629,-0.5359422
1640,-1.435235
1693,-1.099136
1697,-1.607826
1709,-0.4087695
1720,-1.035549
1732,-1.716832
1743,-1.535156
1754,-1.244476
1766,-1.026466
1777,-0.7993713
1788,-1.208141
1897,-0.8084551
1902,-1.68958
1914,-1.862172
1925,-1.017382
1936,-0.7993713
1948,-0.3996857
1959,-0.9174603
1971,-1.25356
1982,-1.026466
1994,-0.7993713
2054,-1.644162
2062,-1.25356
2073,-2.034764
2085,-1.762251
2096,-0.9719629
2107,-0.7993713
2119,-0.4814395
2130,-0.8084551
2142,-0.9537953
2153,-0.9628791
2211,-2.02568
2221,-1.734999
2233,-0.6358636
2244,-0.3906019
2255,-0.890209
2271,-1.95301
2278,-0.9719629
2290,-0.9537953
2301,-2.180104
2312,-1.762251
2370,-0.272513
2381,-1.017382
2392,-2.234606
2404,-0.9628791
2415,0.09083766
2426,-1.3989
2438,-1.662329
2449,-1.380732
2460,-0.9174603
2472,-0.3542669
2530,-2.02568
2540,-1.780418
2552,-1.280811
2563,-0.426937
2574,-0.4178532
2586,-0.5268584
2597,-1.844004
2609,-1.516989
2620,-0.9356278
2631,-1.834921
2687,-1.589659
2700,-1.625994
2711,-1.453403
2722,-1.998428
2734,-1.453403
2745,-1.235392
2757,-0.4178532
2768,0.2543454
2779,-0.5631934
2791,-1.090052
2849,-0.8084551
2859,-1.698664
2870,-1.553324
2882,-1.580575
2893,-0.6540311
2905,-0.3633506
2916,-0.9992143
2927,-1.171806
2939,-0.5177746
2950,-1.61691
3013,-1.008298
3019,-1.453403
3030,-2.02568
3041,-0.8084551
3053,-1.716832
3064,-1.753167
3075,-1.25356
3087,-1.25356
3098,-1.32623
3110,-0.9992143
3170,-2.071099
3178,-2.180104
3189,-1.208141
3201,-0.3996857
3212,-0.9356278
3224,-1.916675
3235,-2.24369
3246,-1.825837
3258,-0.9992143
3269,-0.2815967
3332,-1.380732
3337,-1.771334
3349,-0.5722773
3360,-0.4814395
3372,-0.9083766
3383,-0.6358636
3394,-1.298978
3406,-1.680497
3417,-1.971177
3429,-1.744083
3490,-1.062801
3497,-1.126387
3508,-1.344397
3520,-1.044633
3533,-0.5268584
3542,-1.526073
3554,-1.144554
3565,-0.6267798
3577,-1.217225
3588,-1.54424
3654,-1.526073
3656,-0.9810467
3668,-1.371649
3679,-1.462486
3690,-1.453403
3702,-0.9447116
3713,-0.2361779
3725,-0.09083766
3736,-0.04541883
3747,-0.7267013
3812,-0.5268584
3816,-1.344397
3827,-1.798586
3838,-1.762251
3850,-0.890209
3861,-1.162722
3873,-1.598743
3884,-1.262643
3895,-1.516989
3907,-0.7630363
3969,-1.653245
3975,-1.171806
3987,-1.289895
3998,-1.54424
4009,-1.998428
4021,-1.262643
4032,-2.17102
4044,-2.17102
4055,-1.426151
4066,-0.9265441
4135,-0.9174603
4146,-1.317146
4157,-0.7085337
4169,-1.516989
4187,-1.553324
4192,-1.162722
4203,-1.662329
4214,-1.662329
4226,-1.571491
4237,-1.189973
4342,-0.8175389
4351,-1.008298
4362,-1.199057
4374,-0.9447116
4385,-0.4451045
4397,-1.371649
4408,-1.980261
4419,-1.589659
4431,-0.735785
4442,-0.5086909
4549,-1.135471
4556,-1.117303
4567,-0.8720415
4579,-0.8175389
4590,-1.117303
4602,-0.4360208
4613,-0.6903662
4624,-0.890209
4636,-1.516989
4647,-1.380732
4694,-1.298978
4704,-0.5541097
4715,-0.1635078
4727,-0.09992142
4738,-0.2180104
4750,0.1725916
4761,-0.3451831
4772,-1.989345
4784,-2.080182
4795,-1.580575
4843,-1.698664
4852,-2.152853
4863,-1.208141
4875,-0.5268584
4887,-1.117303
4898,-1.47157
4909,-1.998428
4920,-2.343611
4932,-1.95301
4943,-2.443533
4996,-1.734999
5000,-1.644162
5011,-0.9901304
5023,-1.32623
5034,-0.5904448
5046,-0.617696
5057,-1.335314
5068,-1.680497
5080,-1.271727
5091,-1.317146
5139,-1.507905
5148,-1.117303
5160,-0.7267013
5171,-1.580575
5182,-2.234606
5194,-1.807669
5205,-1.571491
5217,-1.380732
5228,-0.581361
5239,-1.725915
5289,-1.625994
5296,-0.581361
5308,-0.6540311
5319,-1.526073
5330,-1.32623
5342,-1.32623
5353,-0.7176175
5365,-1.753167
5376,-1.989345
5387,-1.371649
5438,-1.444319
5444,-2.016596
5456,-1.489738
5467,-1.653245
5481,-1.217225
5490,-0.9083766
5501,-1.071884
5513,-2.080182
5524,-1.734999
5535,-1.180889
5589,-3.061229
5592,-2.498035
5604,-1.598743
5615,-1.435235
5626,-1.017382
5638,-1.47157
5649,-1.943926
5661,-0.69945
5672,-0.6540311
5683,-0.5904448
5738,-2.479868
5740,-1.925758
5752,-2.016596
5763,-3.279239
5775,-2.661543
5786,-1.653245
5797,-1.317146
5809,-0.5450259
5820,-1.607826
5831,-0.9083766
5889,-1.026466
5900,-2.180104
5911,-1.68958
5923,-0.7448688
5934,-0.6086123
5945,-0.7539526
5957,-1.744083
5968,-1.535156
5980,-0.272513
5991,-0.5450259
6047,-1.426151
6048,-1.344397
6059,-1.943926
6071,-3.106648
6082,-2.116517
6096,-0.2906805
6105,0.0
6116,-1.289895
6128,-2.825051
6139,-2.152853
6194,-1.943926
6196,-2.180104
6207,-1.453403
6219,-0.4996071
6230,-0.9992143
6242,-2.298193
6253,-2.09835
6264,-1.95301
6276,-1.607826
6287,-1.099136
6345,-2.970391
6355,-1.889423
6367,-1.498821
6378,-1.244476
6390,-0.8175389
6401,-1.943926
6412,-1.980261
6424,-2.343611
6435,-2.234606
6446,-1.580575
6506,-1.344397
6515,-2.770549
6526,-2.09835
6538,-2.09835
6549,-2.270941
6560,-2.161936
6572,-2.189188
6583,-2.261858
6595,-1.962093
6606,-1.653245
6664,-1.32623
6674,-1.526073
6686,-0.7812038
6697,-0.9628791
6708,-1.671413
6720,-1.526073
6731,-1.716832
6743,-1.834921
6754,-1.262643
6765,-1.271727
6824,-1.635078
6834,-1.998428
6845,-2.470784
6857,-1.417067
6868,-0.3179318
6879,-0.03633506
