Milliseconds,Weight (grams)
12,-1.153638
23,-0.4178532
35,0.2906805
46,0.05450259
57,0.2906805
69,1.080968
80,0.3906019
92,0.1362565
103,0.5904448
115,0.6631149
126,0.3451831
137,-0.06358636
149,-0.09083766
160,-0.2997643
172,-0.5268584
183,0.5450259
195,1.017382
206,0.890209
217,1.099136
229,-0.154424
240,-0.9810467
252,-0.8811253
263,-1.280811
275,-1.044633
286,-0.6086123
297,-0.09992142
309,0.3451831
320,0.2180104
332,-0.8084551
343,-0.3542669
355,-0.6267798
366,-0.4451045
378,0.4360208
389,0.8175389
400,0.2089266
412,-0.69945
423,0.1453403
435,0.4178532
446,-0.4905233
458,-0.7812038
516,-1.453403
526,-0.5268584
538,-0.4905233
549,-1.208141
560,-0.6449473
572,0.3724344
583,-0.1453403
595,-0.09992142
606,0.08175388
618,-0.426937
673,-1.25356
675,-0.890209
686,-1.426151
698,-0.7812038
709,-0.3451831
720,-0.154424
732,0.1725916
743,-0.4814395
755,-1.180889
766,-1.199057
816,-0.9901304
823,-0.3270155
835,0.7539526
846,-0.4360208
858,-1.289895
869,-1.062801
881,-1.080968
892,-0.3542669
903,0.463272
915,-0.2543454
965,-1.171806
972,-0.9447116
983,-1.144554
995,-1.362565
1006,-1.389816
1018,-0.77212
1029,-0.4541883
1041,-0.5177746
1052,-1.126387
1063,-0.6086123
1221,-1.035549
1223,-1.571491
1235,-0.8720415
1246,0.1725916
1258,0.4905233
1269,-0.154424
1281,0.3542669
1292,0.7176175
1303,0.7630363
1315,-0.01816753
1367,-1.108219
1372,-0.7448688
1384,-0.581361
1395,-1.308062
1406,-0.9174603
1418,-0.1453403
1429,-0.3542669
1441,-0.9719629
1452,-0.6812824
1464,-1.498821
1521,-1.199057
1532,-0.5995286
1544,-0.4814395
1555,-0.2543454
1566,-0.7176175
1578,-0.7902876
1589,-0.8629578
1601,-1.126387
1612,-1.444319
1624,-1.653245
1682,-0.308848
1692,-0.9992143
1711,-0.9174603
1715,-1.54424
1726,-2.125601
1738,-1.725915
1749,-0.9265441
1761,-0.6812824
1772,-0.7448688
1784,-0.9992143
1841,-0.6631149
1852,-0.5086909
1864,0.09992142
1875,-0.6631149
1887,-1.017382
1898,-1.008298
1909,-1.080968
1921,-1.017382
1932,-0.3996857
1944,-0.2089266
2000,-1.199057
2001,-1.153638
2012,-1.3989
2024,-1.3989
2035,-0.6267798
2047,-0.3633506
2058,-0.308848
2069,-0.9537953
2081,-1.189973
2092,-0.9810467
2150,-0.6086123
2161,-1.3989
2172,-1.180889
2184,-0.3179318
2195,0.1362565
2207,-0.1271727
2218,-0.272513
2230,-1.035549
2241,-0.8266227
2252,-1.017382
2308,-1.989345
2310,-1.389816
2321,-1.798586
2333,-2.261858
2344,-0.77212
2355,-1.553324
2367,-2.080182
2378,-1.934842
2390,-1.635078
2401,-0.4905233
2459,-1.344397
2470,-1.498821
2481,-1.535156
2492,-1.417067
2504,-0.9083766
2515,-1.317146
2527,-0.7902876
2538,-0.5268584
2550,-0.7085337
2561,-1.889423
2619,-0.2543454
2630,0.1180889
2641,-0.7085337
2652,-1.099136
2664,-1.008298
2675,-1.571491
2687,-2.134685
2698,-1.335314
2710,-0.77212
2721,-0.8266227
2780,-0.890209
2790,-0.0272513
2801,0.2815967
2813,-0.1907591
2824,-0.5631934
2835,-0.581361
2847,-0.1816753
2858,-0.463272
2870,-0.8175389
2881,-1.053717
2947,-0.5631934
2950,-0.7902876
2965,-1.971177
2973,-1.498821
2984,-1.25356
2995,-1.035549
3007,-0.8629578
3018,-0.735785
3030,-1.153638
3041,-1.362565
3103,0.04541883
3110,-2.080182
3121,-2.343611
3133,-0.9447116
3144,-1.571491
3156,-2.116517
3167,-1.507905
3178,-0.8720415
3190,-1.180889
3201,-0.7539526
3375,-0.1180889
3384,-0.9447116
3396,-2.043847
3407,-1.962093
3419,-1.61691
3430,-1.744083
3441,-0.9356278
3453,-0.581361
3464,-0.2180104
3476,-0.6358636
3541,-1.017382
3544,-1.417067
3556,-0.4723558
3567,-1.32623
3578,-0.890209
3590,-0.9447116
3601,-0.5631934
3613,-0.6812824
3624,-0.5541097
3636,0.4451045
3701,-1.498821
3704,-1.980261
3716,-1.825837
3727,-0.3724344
3739,-0.426937
3750,-0.7902876
3761,-1.853088
3773,-2.216439
3784,-1.507905
3796,-0.8447903
3863,-1.271727
3864,-1.189973
3876,-0.7085337
3887,-0.1998428
3899,-0.9083766
3910,-0.8992928
3921,-1.280811
3933,-0.77212
3944,0.09992142
3956,-0.3542669
4023,-2.052931
4025,-0.6812824
4036,-0.5631934
4047,-0.463272
4059,-0.4451045
4070,-1.871256
4082,-1.889423
4093,-0.7176175
4104,-0.9810467
