Milliseconds,Weight (grams)
11,0.7902876
22,1.907591
34,1.280811
45,-0.03633506
57,1.208141
68,0.8992928
80,1.126387
91,1.108219
102,-0.4814395
114,-0.77212
172,-0.04541883
182,0.8084551
194,0.9265441
205,1.108219
217,-0.04541883
228,-0.2089266
239,0.5450259
251,-0.6449473
262,-0.4905233
274,-1.017382
285,-0.6540311
297,-0.3724344
308,-0.1090052
319,0.1907591
331,-0.6086123
342,-0.272513
354,0.4178532
365,0.8357064
376,0.6631149
388,-0.2180104
399,-0.1998428
411,-0.0272513
422,0.0272513
441,-0.6358636
445,-1.444319
456,-2.107434
468,-1.362565
479,-0.77212
491,-0.4360208
502,-0.2634292
557,-1.980261
559,-1.32623
571,-1.943926
582,-0.3270155
593,0.1271727
605,-0.7630363
616,-1.289895
628,-0.8629578
639,-1.562408
651,-1.925758
697,-0.5631934
708,-0.69945
719,-1.716832
731,-1.598743
742,-1.162722
753,-1.035549
765,0.09992142
776,0.4087695
788,-0.9628791
799,-0.8357064
849,-0.6903662
856,-1.516989
868,-1.844004
879,-2.207355
890,-0.9537953
902,0.4905233
913,-0.2452617
925,-0.5450259
936,-0.7539526
948,-0.1362565
999,-1.753167
1005,-1.090052
1016,-1.335314
1028,-1.335314
1039,-1.108219
1050,-0.8447903
1062,-0.6721987
1073,-0.6721987
1085,-0.8720415
1096,-1.526073
1145,-1.68958
1153,-1.526073
1165,-1.662329
1176,-1.217225
1187,-1.753167
1199,-0.9083766
1210,-1.217225
1222,-1.825837
1233,-0.6721987
1245,-0.009083766
1305,-0.3451831
1313,-0.7085337
1325,-2.198271
1336,-2.298193
1347,-0.4451045
1359,0.308848
1370,-0.03633506
1382,-0.5631934
1393,-1.180889
1404,-1.47157
1454,-1.353481
1462,-1.780418
1473,-0.9810467
1484,-0.2180104
1496,-0.6721987
1507,-0.1816753
1519,-1.044633
1530,-0.7448688
1541,-0.5268584
1553,-0.3633506
1604,-1.61691
1610,-1.199057
1621,-1.380732
1640,-1.607826
1644,-1.371649
1656,-1.25356
1667,-1.262643
1679,-1.008298
1690,-0.7176175
1701,0.8447903
1750,-1.916675
1759,-1.734999
1770,-1.862172
1781,-1.435235
1793,-0.4814395
1804,-0.2361779
1816,0.4996071
1827,-0.154424
1838,-1.889423
1850,-1.762251
1902,-2.370863
1907,-2.143769
1918,-1.053717
1930,-0.9174603
1941,-1.162722
1953,-1.026466
1964,-1.444319
1976,-1.380732
1987,-1.189973
1998,-1.153638
2111,0.7267013
2113,0.1453403
2124,-0.5904448
2135,-0.4814395
2147,-1.171806
2158,-1.716832
2170,-1.625994
2181,-1.262643
2192,-0.5359422
2204,-0.8992928
2261,-0.3633506
2272,-1.026466
2284,-2.080182
2303,-1.925758
2307,-1.571491
2318,-1.080968
2330,-0.9083766
2341,-0.4814395
2352,-1.453403
2364,-1.280811
2428,-1.189973
2432,-0.890209
2444,-1.426151
2455,-1.816753
2467,-0.6812824
2478,-1.026466
2489,-1.507905
2501,-0.9174603
2512,-0.7630363
2524,-1.135471
2586,-0.9265441
2592,-0.8084551
2604,-1.235392
2615,-0.77212
2626,-0.3270155
2638,-1.289895
2649,-1.68958
2661,-0.853874
2672,-1.108219
2684,-1.753167
2744,-0.8266227
2752,-1.217225
2764,-0.8720415
2775,0.4360208
2786,-0.2543454
2798,-0.4360208
2809,-2.089266
2821,-2.634292
2832,-1.344397
2844,-0.8175389
2903,-1.998428
2912,-1.844004
2924,-1.816753
2942,-2.02568
2946,-2.071099
2958,-1.053717
2969,-0.6358636
2981,-0.4905233
2992,-1.844004
3003,-1.853088
3066,-2.961308
3072,-2.761465
3083,-1.435235
3095,-0.009083766
3106,-0.7539526
