Milliseconds,Weight (grams)
12,0.1362565
23,0.5541097
34,0.69945
46,-0.2452617
57,0.5268584
69,-0.01816753
80,-0.308848
91,-0.8084551
103,-1.171806
114,-0.7176175
126,-0.9901304
137,-1.171806
148,-0.7993713
160,-1.071884
171,-1.753167
183,-1.099136
194,-0.8992928
206,-0.7176175
217,-0.3270155
228,-0.1453403
240,-0.2361779
251,-0.2634292
263,-0.4905233
274,-1.235392
285,-1.535156
297,-1.090052
308,-1.144554
320,-0.7176175
331,-0.581361
343,-0.2634292
354,-0.463272
365,-1.090052
377,-0.272513
388,0.009083766
401,-0.4814395
411,-1.662329
422,-1.480654
434,-1.562408
445,-2.634292
457,-1.780418
507,-0.9992143
514,-1.126387
525,-0.9265441
537,-1.317146
548,-1.68958
559,-2.089266
571,-2.034764
582,-1.217225
594,-1.289895
605,-1.462486
655,-2.252774
662,-1.144554
674,-0.2634292
685,0.4087695
696,-0.1271727
708,-0.8357064
719,-0.5995286
731,-1.135471
742,-0.7539526
753,-1.035549
806,-1.407984
811,-1.226308
822,-1.653245
833,-1.344397
845,-1.989345
856,-2.38903
868,-1.707748
879,-1.516989
890,-1.453403
902,-1.580575
951,-1.244476
959,-1.144554
970,-1.47157
982,-2.352695
996,-2.752381
1005,-1.725915
1016,-0.8084551
1027,-0.2906805
1039,-0.5631934
1050,-0.8629578
1107,-1.653245
1119,-1.825837
1130,-0.06358636
1142,-0.6449473
1153,-1.498821
1164,-1.444319
1176,-1.562408
1187,-0.7812038
1199,-1.498821
1210,-1.780418
1263,-1.480654
1267,-1.862172
1279,-1.3989
1290,-2.325444
1301,-1.117303
1313,-1.580575
1324,-1.644162
1336,-1.380732
1347,-1.580575
1358,-1.707748
1472,-1.244476
1473,-1.862172
1484,-1.671413
1495,-1.353481
1507,-0.7539526
1518,-0.5359422
1530,-1.317146
1541,-2.007512
1552,-2.825051
1564,-2.17102
1621,-2.143769
1632,-1.762251
1644,-1.308062
1655,-1.308062
1668,-0.272513
1678,-0.9628791
1689,-1.25356
1701,-1.662329
1712,-0.8992928
1724,-0.8447903
1775,-2.425365
1781,-1.199057
1792,-1.417067
1804,-1.25356
1815,-1.353481
1827,-1.789502
1838,-1.716832
1849,-1.716832
1861,-1.380732
1872,-1.208141
1925,-1.698664
1929,-1.871256
1941,-1.825837
1952,-0.8720415
1963,-0.5904448
1975,-1.61691
1986,-1.744083
1998,-2.080182
2009,-2.134685
2021,-0.9447116
2077,-1.071884
2089,-0.6903662
2100,-1.516989
2112,-1.771334
2123,-1.417067
2135,-1.317146
2146,-1.598743
2158,-1.453403
2169,-1.208141
2180,-1.771334
2236,-1.625994
2249,-0.9901304
2260,-0.1090052
2276,-1.371649
2283,-2.207355
2295,-1.298978
2306,-1.026466
2317,-1.199057
2329,-1.162722
2340,-1.407984
2401,-0.9083766
2409,-0.3633506
2420,-1.208141
2431,-2.034764
2443,-2.570706
2454,-2.588873
2466,-1.389816
2477,-0.7267013
2489,-0.6358636
2500,-1.734999
2564,-1.744083
2569,-1.980261
2580,-1.171806
2591,-1.426151
2603,-1.362565
2614,-0.8266227
2626,-0.6358636
2637,-0.6358636
2648,-0.853874
2660,-0.890209
2720,-2.02568
2728,-1.435235
2740,-1.762251
2751,-1.589659
2762,-1.571491
2774,-1.226308
2785,-1.062801
2797,-1.062801
2808,-0.8720415
2820,-1.54424
2881,-1.744083
2888,-1.580575
2899,-2.352695
2916,-1.380732
2922,-1.562408
2934,-2.906805
2945,-2.634292
2957,-1.607826
2968,-0.69945
2979,-1.071884
3040,-1.462486
3048,-1.762251
